started_at,finished_at,seconds,memory
2013-12-26 00:08:02 -0600,2013-12-26 00:08:29 -0600,26.147687,70904
2013-12-26 00:08:29 -0600,2013-12-26 00:08:55 -0600,26.166265,70904
2013-12-26 00:08:55 -0600,2013-12-26 00:09:21 -0600,26.21843,70904
2013-12-26 00:09:21 -0600,2013-12-26 00:09:48 -0600,27.411053,70904
2013-12-26 00:09:48 -0600,2013-12-26 00:10:15 -0600,26.274688,70904
2013-12-26 00:10:15 -0600,2013-12-26 00:10:41 -0600,26.149981,70904
2013-12-26 00:10:41 -0600,2013-12-26 00:11:07 -0600,26.18621,70904
2013-12-26 00:11:07 -0600,2013-12-26 00:11:34 -0600,27.438145,70904
2013-12-26 00:11:35 -0600,2013-12-26 00:12:02 -0600,27.453476,70904
2013-12-26 00:12:02 -0600,2013-12-26 00:12:28 -0600,26.169865,70904
2013-12-26 00:12:28 -0600,2013-12-26 00:12:54 -0600,26.076487,70904
2013-12-26 00:12:54 -0600,2013-12-26 00:13:22 -0600,27.434231,70904
2013-12-26 00:13:22 -0600,2013-12-26 00:13:48 -0600,26.58775,70904
2013-12-26 00:13:48 -0600,2013-12-26 00:14:14 -0600,26.205233,70904
2013-12-26 00:14:14 -0600,2013-12-26 00:14:41 -0600,26.160622,70904
2013-12-26 00:14:41 -0600,2013-12-26 00:15:07 -0600,26.714028,70904
2013-12-26 00:15:07 -0600,2013-12-26 00:15:39 -0600,31.230476,70904
2013-12-26 00:15:39 -0600,2013-12-26 00:16:05 -0600,26.11052,70944
2013-12-26 00:16:05 -0600,2013-12-26 00:16:31 -0600,26.171562,70944
2013-12-26 00:16:31 -0600,2013-12-26 00:16:58 -0600,26.649716,70944
2013-12-26 00:16:58 -0600,2013-12-26 00:17:25 -0600,27.465033,70944
2013-12-26 00:17:25 -0600,2013-12-26 00:17:51 -0600,26.066031,70944
2013-12-26 00:17:51 -0600,2013-12-26 00:18:17 -0600,26.223776,70944
2013-12-26 00:18:17 -0600,2013-12-26 00:18:44 -0600,26.432092,70944
2013-12-26 00:18:44 -0600,2013-12-26 00:19:11 -0600,27.382815,70944
2013-12-26 00:19:11 -0600,2013-12-26 00:19:38 -0600,26.478947,70944
2013-12-26 00:19:38 -0600,2013-12-26 00:20:04 -0600,26.201234,70944
2013-12-26 00:20:04 -0600,2013-12-26 00:20:30 -0600,26.22543,70944
2013-12-26 00:20:30 -0600,2013-12-26 00:20:57 -0600,27.381408,70944
2013-12-26 00:20:57 -0600,2013-12-26 00:21:24 -0600,26.147796,70944
2013-12-26 00:21:24 -0600,2013-12-26 00:21:50 -0600,26.196555,70944
2013-12-26 00:21:50 -0600,2013-12-26 00:22:16 -0600,26.13943,70944
2013-12-26 00:22:16 -0600,2013-12-26 00:22:43 -0600,27.391446,70944
2013-12-26 00:22:43 -0600,2013-12-26 00:23:09 -0600,26.045214,70944
2013-12-26 00:23:09 -0600,2013-12-26 00:23:36 -0600,26.223637,70944
2013-12-26 00:23:36 -0600,2013-12-26 00:24:02 -0600,26.178512,70944
2013-12-26 00:24:02 -0600,2013-12-26 00:24:28 -0600,26.212473,70944
2013-12-26 00:24:28 -0600,2013-12-26 00:24:55 -0600,27.100993,70944
2013-12-26 00:24:55 -0600,2013-12-26 00:25:23 -0600,27.420434,70944
2013-12-26 00:25:23 -0600,2013-12-26 00:25:49 -0600,26.333385,70944
2013-12-26 00:25:49 -0600,2013-12-26 00:26:15 -0600,26.182474,70944
2013-12-26 00:26:15 -0600,2013-12-26 00:26:42 -0600,27.378613,70944
2013-12-26 00:26:42 -0600,2013-12-26 00:27:10 -0600,27.43879,70944
2013-12-26 00:27:10 -0600,2013-12-26 00:27:36 -0600,26.285847,70944
2013-12-26 00:27:36 -0600,2013-12-26 00:28:02 -0600,26.218666,70944
2013-12-26 00:28:02 -0600,2013-12-26 00:28:29 -0600,27.099979,70944
2013-12-26 00:28:29 -0600,2013-12-26 00:28:57 -0600,27.612772,70944
2013-12-26 00:28:57 -0600,2013-12-26 00:29:23 -0600,26.18307,70944
2013-12-26 00:29:23 -0600,2013-12-26 00:29:49 -0600,26.129915,70944
2013-12-26 00:29:49 -0600,2013-12-26 00:30:16 -0600,26.083898,70944
2013-12-26 00:30:16 -0600,2013-12-26 00:30:43 -0600,27.462506,70944
2013-12-26 00:30:43 -0600,2013-12-26 00:31:09 -0600,26.252071,70944
2013-12-26 00:31:09 -0600,2013-12-26 00:31:35 -0600,26.248306,70944
2013-12-26 00:31:35 -0600,2013-12-26 00:32:02 -0600,26.111143,70944
2013-12-26 00:32:02 -0600,2013-12-26 00:32:29 -0600,27.042069,70944
